State,State_code,District,District_code,Market_code,Market
Andhra Pradesh,AP,Guntur,15,1228,"Gandhi Irvin Park(Tenali),RBZ"
Andhra Pradesh,AP,Guntur,15,923,Guntur
Andhra Pradesh,AP,Guntur,15,932,Ipur
Andhra Pradesh,AP,Guntur,15,965,Krosuru
Andhra Pradesh,AP,Guntur,15,3810,Kuchinapudi
Andhra Pradesh,AP,Guntur,15,973,Macharla
Andhra Pradesh,AP,Guntur,15,984,Mangalagiri
Andhra Pradesh,AP,Guntur,15,1227,"Mangalagiri(SLNS Temple),RBZ"
Andhra Pradesh,AP,Guntur,15,377,Narasaraopet
Andhra Pradesh,AP,Guntur,15,3571,"Narasaraopet,RBZ"
Andhra Pradesh,AP,Guntur,15,3751,Narasaraopeta
Andhra Pradesh,AP,Guntur,15,1229,"Nr. Co-op Central Bank(Ten),RBZ"
Andhra Pradesh,AP,Guntur,15,3572,"Old Bus Stand, Chilakaluripet,RBZ"
Andhra Pradesh,AP,Guntur,15,1225,"Opp:Swami Theatre, ,RBZ,Guntur"
Andhra Pradesh,AP,Guntur,15,2293,Pidugurala
Andhra Pradesh,AP,Guntur,15,1019,Pidugurala(Palnadu)
Andhra Pradesh,AP,Guntur,15,1034,Ponnur
Andhra Pradesh,AP,Guntur,15,1050,Repalli
Andhra Pradesh,AP,Guntur,15,1057,Sattenapalli
Andhra Pradesh,AP,Guntur,15,1068,Tadikonda
Andhra Pradesh,AP,Guntur,15,1072,Tenali
Andhra Pradesh,AP,Guntur,15,1089,Vinukonda
Andhra Pradesh,AP,Krishna,16,1224,"Bapulapadu,RBZ"
Andhra Pradesh,AP,Krishna,16,907,Divi
Andhra Pradesh,AP,Krishna,16,915,Gannavaram
Andhra Pradesh,AP,Krishna,16,376,Gudiwada
Andhra Pradesh,AP,Krishna,16,3566,"Gudiwada,RBZ"
Andhra Pradesh,AP,Krishna,16,3570,"Ibrahimpatnam,RBZ"
Andhra Pradesh,AP,Krishna,16,934,Jaggayyapeta
Andhra Pradesh,AP,Krishna,16,3567,"Jaggayyapeta (G.Hospital),RBZ"
Andhra Pradesh,AP,Krishna,16,375,Kaikaluru
Andhra Pradesh,AP,Krishna,16,2281,Kalidindi
Andhra Pradesh,AP,Krishna,16,947,Kanchekacherla
Andhra Pradesh,AP,Krishna,16,3565,"Kanchekacherla,RBZ"
Andhra Pradesh,AP,Krishna,16,4357,Kankipadu
Andhra Pradesh,AP,Krishna,16,1222,"Kedareshwari peta, Vijayawada,RBZ"
Andhra Pradesh,AP,Krishna,16,3562,"Machalipatnam (Court),RBZ"
Andhra Pradesh,AP,Krishna,16,972,Machilipatnam
Andhra Pradesh,AP,Krishna,16,981,Malleswaram
Andhra Pradesh,AP,Krishna,16,990,Movva Hqs
Andhra Pradesh,AP,Krishna,16,994,Mylavaram
Andhra Pradesh,AP,Krishna,16,3569,"Mylavaram,RBZ"
Andhra Pradesh,AP,Krishna,16,1002,Nandigama
Andhra Pradesh,AP,Krishna,16,3564,"Nandigama,RBZ"
Andhra Pradesh,AP,Krishna,16,1013,Nuzvid
Andhra Pradesh,AP,Krishna,16,3563,"Nuzvid (Gandhi Park),RBZ"
Andhra Pradesh,AP,Krishna,16,1020,Pamarru
Andhra Pradesh,AP,Krishna,16,1223,"Patamata,RBZ"
Andhra Pradesh,AP,Krishna,16,3979,Penamaluru
Andhra Pradesh,AP,Krishna,16,4297,Swarajmaidan(Rythu Bazar)
Andhra Pradesh,AP,Krishna,16,1078,Tiruvuru
